index,Job Title,Location,Size,Founded,Type of ownership,Industry,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Python,hadoop,job_title_sim,Degree
652,Clinical Laboratory Scientist,"Vail, CO",501 - 1000 ,1966,Hospital,Health Care Services & Hospitals,49,81,65,Vail Health,CO,0,0,other scientist,None
653,Data Engineer   Consultant (Charlotte Based),"Charlotte, NC",201 - 500 ,2008,Company   Private,IT Services,59,112,85.5,Clarity Insights,NC,1,1,data engineer,None
655,Data Engineer,"Aliso Viejo, CA",1001 - 5000 ,1997,Company   Public,Video Games,79,147,113,NCSOFT,CA,1,0,data engineer,None
658,"Scientist, Immuno Oncology","Cambridge, MA",10000+ ,1830,Company   Public,Biotech & Pharmaceuticals,62,119,90.5,GSK,MA,0,0,other scientist,M
660,Senior Data Scientist,"Los Angeles, CA",51 - 200 ,2008,Company   Private,Computer Hardware & Software,119,187,153,Factual,CA,1,0,data scientist,None
661,Products Data Analyst II,"Dublin, CA",1001 - 5000 ,1988,Company   Public,Consulting,90,157,123.5,TriNet,CA,0,0,analyst,M
662,Lead Data Analyst,"New York, NY",201 - 500 ,2010,Company   Private,Internet,32,62,47,Signpost,NY,0,0,analyst,None
663,Analytics Manager   Data Mart,"Scotts Valley, CA",501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,42,86,64,Central California Alliance for Health,CA,0,0,Data scientist project manager,None
664,Data Science Engineer   Mobile,"San Jose, CA",10000+ ,1982,Company   Public,Computer Hardware & Software,116,208,162,Adobe,CA,1,1,data scientist,M
665,Senior Data Scientist   R&D Oncology,"New York, NY",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,102,172,137,AstraZeneca,NY,1,0,data scientist,P
666,Sr. Data Engineer   Contract to Hire (Java),"Knoxville, TN",10000+ ,1958,Company   Private,Gas Stations,69,127,98,Pilot Flying J Travel Centers LLC,TN,1,0,data engineer,M
668,Data Scientist,"Armonk, NY",10000+ ,1863,Company   Public,Insurance Agencies & Brokerages,86,144,115,Swiss Re,NY,1,0,data scientist,M
669,Senior Data Scientist,"Arvada, CO",5001 - 10000 ,1870,Company   Public,Biotech & Pharmaceuticals,102,165,133.5,Sartorius,CO,1,0,data scientist,M
670,Data Engineer,"Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,74,124,99,Pinnacol Assurance,CO,1,0,data engineer,M
671,Food Scientist   Developer,"Milwaukee, WI",501 - 1000 ,1964,Company   Private,Food & Beverage Manufacturing,40,68,54,Palermo's Pizza,WI,0,0,other scientist,None
672,Senior Data Engineer,"Franklin, TN",1001 - 5000 ,2004,Company   Private,Health Care Services & Hospitals,76,142,109,Equian LLC,TN,0,1,data engineer,None
673,Data Engineer,"Rockville, MD",201 - 500 ,1999,Company   Private,IT Services,76,142,109,MetroStar Systems,MD,0,0,data engineer,M
674,Senior Data Scientist,"Natick, MA",1001 - 5000 ,1984,Company   Private,Computer Hardware & Software,108,171,139.5,MathWorks,MA,1,0,data scientist,M
675,"Director II, Data Science   GRM Actuarial","Chicago, IL",10000+ ,1912,Company   Private,Insurance Carriers,202,306,254,Liberty Mutual Insurance,IL,1,0,data scientist,M
676,Machine Learning Engineer,"New York, NY",1001 - 5000 ,1975,Company   Private,Computer Hardware & Software,91,159,125,Information Builders,NY,1,0,machine learning engineer,M
678,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)","Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,80,133,106.5,Novartis,MA,1,0,data scientist,M
679,"Scientist, Molecular/Cellular Biologist","South San Francisco, CA",201 - 500 ,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,49,97,73,Audentes Therapeutics,CA,0,0,other scientist,P
681,Staff Scientist Downstream Process Development,"Rockville, MD",201 - 500 ,1961,Company   Private,Biotech & Pharmaceuticals,49,113,81,Advanced BioScience Laboratories,MD,0,0,other scientist,P
682,MED TECH/LAB SCIENTIST  SOUTH COASTAL LAB,"Millville, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,43,70,56.5,Beebe Healthcare,DE,0,0,other scientist,None
683,Scientist   Analytical Services,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,65,134,99.5,Reynolds American,NC,0,0,other scientist,None
685,Associate Data Analyst  Graduate Development Program,"Richfield, OH",501 - 1000 ,1989,Company   Private,Insurance Carriers,32,59,45.5,National Interstate,OH,0,0,analyst,None
687,IT Associate Data Analyst,"Worcester, MA",5001 - 10000 ,1852,Company   Public,Insurance Carriers,39,69,54,The Hanover Insurance Group,MA,0,0,analyst,None
688,Sr. Data Engineer,"Indianapolis, IN",51 - 200 ,1996,Company   Private,Consulting,87,158,122.5,Moser Consulting,IN,1,1,data engineer,None
689,Clinical Data Analyst,"Tampa, FL",1001 - 5000 ,1977,Subsidiary or Business Segment,Enterprise Software & Network Solutions,27,48,37.5,Greenway Health,FL,0,0,analyst,M
690,Business Data Analyst,"New York, NY",1001 - 5000 ,2002,Company   Private,Travel Agencies,36,71,53.5,Fareportal,NY,1,0,analyst,M
691,Senior Insurance Data Scientist,"Chicago, IL",5001 - 10000 ,1968,Company   Public,Financial Analytics & Research,107,173,140,TransUnion,IL,1,0,data scientist,None
692,Senior Data Science Systems Engineer,"Hampton, VA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,56,99,77.5,MITRE,VA,0,0,data scientist,P
695,Senior Scientist   Regulatory Submissions,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,80,155,117.5,Reynolds American,NC,0,0,other scientist,M
696,Scientist   Biomarker and Flow Cytometry,"San Diego, CA",501 - 1000 ,2006,Company   Private,Biotech & Pharmaceuticals,43,98,70.5,Crown Bioscience,CA,0,0,other scientist,M
697,"Associate Scientist, LC/MS Biologics","Ithaca, NY",1001 - 5000 ,2015,Company   Private,Biotech & Pharmaceuticals,44,96,70,Q2 Solutions,NY,0,0,other scientist,None
698,Revenue Analytics Manager,"San Francisco, CA",51 - 200 ,2011,Company   Private,Computer Hardware & Software,45,78,61.5,HOVER,CA,0,0,Data scientist project manager,None
699,Sr. Scientist Method Development,"Marietta, GA",1001 - 5000 ,2015,Company   Private,Biotech & Pharmaceuticals,50,110,80,Q2 Solutions,GA,0,0,other scientist,None
700,Data Scientist,"Atlanta, GA",51 - 200 ,2003,Company   Private,Computer Hardware & Software,60,99,79.5,Oversight Systems,GA,1,0,data scientist,None
701,Data Scientist   Sales,"Mountain View, CA",501 - 1000 ,2014,Company   Private,Computer Hardware & Software,130,206,168,Confluent,CA,1,0,data scientist,None
702,IT   Data Engineer II,"Quincy, MA",1001 - 5000 ,1988,Company   Private,Insurance Carriers,61,119,90,Arbella Insurance,MA,0,1,data engineer,None
704,Senior Data Analyst,"San Francisco, CA",51 - 200 ,2008,Company   Public,Computer Hardware & Software,99,178,138.5,Life360,CA,1,0,analyst,None
705,"Principal, Data Science   Advanced Analytics","Plymouth Meeting, PA",10000+ ,2017,Company   Public,Biotech & Pharmaceuticals,86,137,111.5,IQVIA,PA,0,0,data scientist,M
706,Data Science Project Manager,"Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,37,100,68.5,MassMutual,MA,0,0,data scientist,M
707,"Sr Scientist, Immuno Oncology   Oncology","Cambridge, MA",10000+ ,1830,Company   Public,Biotech & Pharmaceuticals,58,111,84.5,GSK,MA,0,0,other scientist,M
708,Senior Data Engineer,"Nashville, TN",1001 - 5000 ,2006,Company   Public,Internet,72,133,102.5,Eventbrite,TN,1,1,data engineer,None
709,"Project Scientist   Auton Lab, Robotics Institute","Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,56,91,73.5,Software Engineering Institute,PA,0,0,other scientist,P
711,Research Scientist – Security and Privacy,"Beavercreek, OH",501 - 1000 ,1967,Nonprofit Organization,Federal Agencies,61,126,93.5,Riverside Research Institute,OH,1,0,other scientist,M
718,Supply Chain Data Analyst,"Logan, UT",1001 - 5000 ,1977,Company   Private,Consumer Products Manufacturing,33,61,47,Icon Health and Fitness,UT,1,0,analyst,None
719,Data Engineer   ETL,"Birmingham, AL",501 - 1000 ,2014,Subsidiary or Business Segment,Consumer Product Rental,44,86,65,Shipt,AL,1,0,data engineer,None
721,Corporate Risk Data Analyst (SQL Based)   Milwaukee or,"Green Bay, WI",1001 - 5000 ,1870,Company   Public,Banks & Credit Unions,43,77,60,Associated Banc-Corp,WI,0,0,analyst,None
722,"Senior Manager, Epidemiologic Data Scientist","New York, NY",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,125,210,167.5,Pfizer,NY,0,0,data scientist,M
723,"Marketing Data Analyst, May 2020 Undergrad","New York, NY",1001 - 5000 ,2002,Company   Private,Travel Agencies,44,86,65,Fareportal,NY,0,0,analyst,None
725,Senior Data Analyst,"Herndon, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,69,119,94,Novetta,VA,1,0,analyst,None
726,Senior Data Analyst,"New York, NY",201 - 500 ,2010,Company   Private,"Department, Clothing, & Shoe Stores",65,110,87.5,Moda Operandi,NY,1,0,analyst,None
727,Senior Data Engineer,"Reston, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,67,127,97,Novetta,VA,1,1,data engineer,None
728,Senior Data Engineer,"Durham, NC",5001 - 10000 ,1990,Company   Private,Computer Hardware & Software,78,147,112.5,Genesys,NC,1,1,data engineer,None
730,Data Modeler (Analytical Systems),"Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,66,117,91.5,MassMutual,MA,0,1,data modeler,None
731,Data Modeler   Data Solutions Engineer,"Indianapolis, IN",10000+ ,1912,Company   Private,Insurance Carriers,37,66,51.5,Liberty Mutual Insurance,IN,1,0,data modeler,M
732,Data Scientist in Translational Medicine,"Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,86,143,114.5,Novartis,MA,0,0,data scientist,None
733,Data Scientist,"New York, NY",201 - 500 ,2011,Company   Private,Consulting,84,146,115,USEReady,NY,1,1,data scientist,None
735,Associate Environmental Scientist   Wildlife Biologist,"Clovis, CA",51 - 200 ,1972,Company   Private,Architectural & Engineering Services,38,64,51,QK,CA,0,0,other scientist,None
