index,Job Title,Location,Size,Founded,Type of ownership,Industry,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Python,hadoop,job_title_sim,Degree
0,Data Scientist,"Albuquerque, NM",501 - 1000 ,1973,Company   Private,Aerospace & Defense,53,91,72,Tecolote Research,NM,1,0,data scientist,M
1,Healthcare Data Scientist,"Linthicum, MD",10000+ ,1984,Other Organization,Health Care Services & Hospitals,63,112,87.5,University of Maryland Medical System,MD,1,0,data scientist,M
2,Data Scientist,"Clearwater, FL",501 - 1000 ,2010,Company   Private,Security Services,80,90,85,KnowBe4,FL,1,0,data scientist,M
3,Data Scientist,"Richland, WA",1001 - 5000 ,1965,Government,Energy,56,97,76.5,PNNL,WA,1,0,data scientist,None
4,Data Scientist,"New York, NY",51 - 200 ,1998,Company   Private,Advertising & Marketing,86,143,114.5,Affinity Solutions,NY,1,0,data scientist,None
5,Data Scientist,"Dallas, TX",201 - 500 ,2000,Company   Public,Real Estate,71,119,95,CyrusOne,TX,1,0,data scientist,None
6,Data Scientist,"Baltimore, MD",501 - 1000 ,2008,Company   Private,Banks & Credit Unions,54,93,73.5,ClearOne Advantage,MD,0,0,data scientist,None
7,Data Scientist,"San Jose, CA",201 - 500 ,2005,Company   Private,Consulting,86,142,114,Logic20/20,CA,1,0,data scientist,M
8,Research Scientist,"Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,38,84,61,Rochester Regional Health,NY,0,0,other scientist,P
10,Data Scientist,"San Jose, CA",501 - 1000 ,2011,Company   Private,Other Retail Stores,126,201,163.5,Wish,CA,1,0,data scientist,None
11,Data Scientist,"Chantilly, VA",5001 - 10000 ,1968,Company   Public,Research & Development,64,106,85,ManTech,VA,0,1,data scientist,None
12,Staff Data Scientist   Technology,"Plano, TX",10000+ ,1962,Company   Public,"Department, Clothing, & Shoe Stores",106,172,139,Walmart,TX,0,1,data scientist,M
13,Data Analyst,"Seattle, WA",201 - 500 ,2012,Company   Private,Advertising & Marketing,46,85,65.5,Yesler,WA,1,0,analyst,None
14,Data Scientist,"Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,83,144,113.5,Takeda Pharmaceuticals,MA,1,0,data scientist,M
15,Data Engineer I,"Newark, NJ",1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,102,190,146,Audible,NJ,0,0,data engineer,None
16,"Scientist I/II, Biology","Cambridge, MA",51 - 200 ,2011,Company   Public,Biotech & Pharmaceuticals,67,137,102,Blueprint Medicines,MA,0,0,other scientist,P
17,Customer Data Scientist,"Mountain View, CA",201 - 500 ,2011,Company   Private,Enterprise Software & Network Solutions,118,189,153.5,h2o.ai,CA,1,1,data scientist,M
18,Data Scientist   Health Data Analytics,"San Francisco, CA",51 - 200 ,2010,Company   Private,Enterprise Software & Network Solutions,110,175,142.5,Nuna,CA,0,0,data scientist,None
19,Data Scientist,"Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,64,111,87.5,Pinnacol Assurance,CO,1,0,data scientist,M
20,Data Scientist,"Seattle, WA",201 - 500 ,2012,Company   Private,Internet,81,130,105.5,Porch,WA,1,0,data scientist,M
21,Senior Data Scientist / Machine Learning,"Dallas, TX",201 - 500 ,2013,Company   Private,Insurance Agencies & Brokerages,73,119,96,Health IQ,TX,0,0,data scientist,P
22,Data Scientist   Quantitative,"Chicago, IL",501 - 1000 ,1995,Company   Private,Logistics & Supply Chain,86,139,112.5,Truckstop.com,IL,1,0,data scientist,M
23,Data Scientist,"Louisville, KY",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,63,105,84,SMC 3,KY,1,0,data scientist,M
25,Data Scientist,"Herndon, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,109,177,143,Novetta,VA,1,0,data scientist,None
26,Digital Health Data Scientist,"Cambridge, MA",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,63,110,86.5,Pfizer,MA,1,0,data scientist,None
27,Data Scientist,"Hillsboro, OR",1001 - 5000 ,1952,Company   Private,Banks & Credit Unions,75,124,99.5,First Tech Federal Credit Union,OR,1,0,data scientist,None
28,Associate Data Analyst,"Worcester, MA",5001 - 10000 ,1852,Company   Public,Insurance Carriers,34,61,47.5,The Hanover Insurance Group,MA,0,0,analyst,None
29,Clinical Data Scientist,"Groton, CT",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,63,105,84,Pfizer,CT,0,0,data scientist,M
30,Data Scientist,"Clearwater, FL",501 - 1000 ,2010,Company   Private,Security Services,80,90,85,KnowBe4,FL,1,0,data scientist,M
31,Data Scientist,"Richland, WA",1001 - 5000 ,1965,Government,Energy,56,97,76.5,PNNL,WA,1,0,data scientist,None
32,Data Scientist,"Detroit, MI",1001 - 5000 ,1997,Company   Private,Real Estate,72,120,96,Amrock,MI,1,0,data scientist,M
33,Data Scientist / Machine Learning Expert,"Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,86,143,114.5,Novartis,MA,1,0,data scientist,None
34,Data Scientist,"Sunnyvale, CA",5001 - 10000 ,1996,Company   Public,Telecommunications Services,93,149,121,Juniper Networks,CA,1,0,data scientist,M
35,Data Scientist,"Ipswich, MA",201 - 500 ,1974,Company   Private,Biotech & Pharmaceuticals,85,140,112.5,New England Biolabs,MA,1,0,data scientist,None
36,Web Data Analyst,"San Jose, CA",201 - 500 ,2008,Company   Private,IT Services,77,135,106,Clarity Insights,CA,1,0,analyst,None
37,Data Scientist,"Redlands, CA",1001 - 5000 ,1969,Company   Private,Computer Hardware & Software,82,132,107,Esri,CA,1,1,data scientist,M
38,Data Scientist,"Woburn, MA",201 - 500 ,2010,Company   Private,Aerospace & Defense,83,137,110,Systems & Technology Research,MA,1,1,data scientist,P
39,Senior Data Scientist,"Fremont, CA",5001 - 10000 ,1870,Company   Public,Biotech & Pharmaceuticals,115,180,147.5,Sartorius,CA,1,0,data scientist,M
40,Data Engineer,"Long Beach, NY",201 - 500 ,1985,Company   Private,Insurance Carriers,74,138,106,Lancer Insurance,NY,1,0,data engineer,M
41,Data Analyst,"San Francisco, CA",201 - 500 ,2008,Company   Private,IT Services,64,112,88,Sauce Labs,CA,1,0,analyst,None
44,Data Scientist   Algorithms & Inference,"San Francisco, CA",51 - 200 ,2010,Company   Private,Enterprise Software & Network Solutions,110,175,142.5,Nuna,CA,0,0,data scientist,M
45,Scientist,"Allendale, NJ",5001 - 10000 ,2015,Company   Public,Consumer Products Manufacturing,52,113,82.5,Edgewell Personal Care,NJ,0,0,other scientist,M
46,Senior Data Scientist,"Chicago, IL",1001 - 5000 ,1993,Company   Public,Real Estate,110,150,130,Equity Residential,IL,1,1,data scientist,M
49,Lead Data Scientist,"Bellevue, WA",10000+ ,1958,Company   Public,IT Services,158,211,184.5,Visa Inc.,WA,1,0,data scientist,None
50,Associate Data Analyst,"Longmont, CO",5001 - 10000 ,1986,Company   Private,Enterprise Software & Network Solutions,20,39,29.5,Intrado,CO,0,0,analyst,M
51,Spectral Scientist/Engineer,"Beavercreek, OH",501 - 1000 ,1999,Company   Private,Aerospace & Defense,56,117,86.5,Centauri,OH,0,0,other scientist,M
52,College Hire   Data Scientist   Open to December 2019 Graduates,"Peoria, IL",10000+ ,1925,Company   Public,Industrial Manufacturing,63,99,81,Caterpillar,IL,0,0,data scientist,None
54,Data Scientist,"Fort Lauderdale, FL",501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,68,114,91,Zimmerman Advertising,FL,1,1,data scientist,None
55,"Data Scientist, Office of Data Science","Boston, MA",10000+ ,1912,Company   Private,Insurance Carriers,86,143,114.5,Liberty Mutual Insurance,MA,1,0,data scientist,None
56,Data Science Analyst,"Huntsville, AL",1001 - 5000 ,2002,Company   Private,Aerospace & Defense,41,95,68,"Torch Technologies, Inc.",AL,1,0,data scientist,None
57,Data Scientist,"Armonk, NY",10000+ ,1863,Company   Public,Insurance Agencies & Brokerages,86,144,115,Swiss Re,NY,1,0,data scientist,M
58,Data Scientist,"San Diego, CA",10000+ ,1939,Company   Public,Aerospace & Defense,80,139,109.5,Northrop Grumman,CA,0,0,data scientist,None
59,Data Scientist,"Albuquerque, NM",5001 - 10000 ,1870,Company   Public,Biotech & Pharmaceuticals,56,95,75.5,Sartorius,NM,1,0,data scientist,M
60,Data Scientist,"San Francisco, CA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,120,189,154.5,Netskope,CA,1,0,data scientist,P
61,Data Scientist,"Saint Louis, MO",51 - 200 ,2016,Company   Private,IT Services,111,176,143.5,1904labs,MO,1,0,data scientist,None
62,Data Scientist,"Baltimore, MD",501 - 1000 ,2008,Company   Private,Banks & Credit Unions,54,93,73.5,ClearOne Advantage,MD,0,0,data scientist,None
63,Data Scientist,"Dallas, TX",201 - 500 ,2000,Company   Public,Real Estate,71,119,95,CyrusOne,TX,1,0,data scientist,None
65,Senior Data Scientist,"Cincinnati, OH",201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,82,132,107,The David J. Joseph Company,OH,1,0,data scientist,M
66,Data Scientist,"New York, NY",201 - 500 ,2011,Company   Private,Consulting,84,146,115,USEReady,NY,1,1,data scientist,None
67,Senior Risk Data Scientist,"Palo Alto, CA",501 - 1000 ,2006,Company   Public,Financial Transaction Processing,107,172,139.5,Bill.com,CA,0,0,data scientist,M
68,Data Scientist in Artificial Intelligence Early Career,"Richland, WA",1001 - 5000 ,1965,Government,Energy,49,85,67,Pacific Northwest National Laboratory,WA,0,0,data scientist,M
70,Data Scientist,"Coraopolis, PA",10000+ ,1948,Company   Public,Sporting Goods Stores,61,109,85,DICK'S Sporting Goods - Corporate,PA,1,0,data scientist,M
72,Data Scientist,"Framingham, MA",51 - 200 ,2006,Company   Private,Biotech & Pharmaceuticals,88,148,118,Berg Health,MA,1,0,data scientist,P
73,Data Scientist,"Atlanta, GA",51 - 200 ,2003,Company   Private,Computer Hardware & Software,60,99,79.5,Oversight Systems,GA,1,0,data scientist,None
75,Data Scientist   Research,"Boston, MA",201 - 500 ,1999,Company   Public,Advertising & Marketing,41,72,56.5,C Space,MA,1,0,data scientist,None
77,R&D Data Analysis Scientist,"Vancouver, WA",10000+ ,1939,Company   Public,Computer Hardware & Software,65,130,97.5,HP Inc.,WA,0,0,other scientist,M
79,"Director, Data Science","Lake Forest, IL",10000+ ,1927,Company   Public,Wholesale,139,220,179.5,Grainger,IL,1,0,data scientist,M
80,Scientist,"Maryland Heights, MO",501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,50,102,76,EAG Laboratories,MO,0,0,other scientist,P
81,Data Scientist SR,"Charlottesville, VA",501 - 1000 ,2010,Company   Private,IT Services,85,139,112,The Buffalo Group,VA,1,1,data scientist,M
82,Data Scientist,"Pittsburgh, PA",1001 - 5000 ,1860,Company   Private,Mining,74,122,98,Carmeuse,PA,1,0,data scientist,M
83,R&D Sr Data Scientist,"Vancouver, WA",10000+ ,1939,Company   Public,Computer Hardware & Software,99,157,128,HP Inc.,WA,0,0,data scientist,M
84,Customer Data Scientist/Sales Engineer (Bay,"Mountain View, CA",201 - 500 ,2011,Company   Private,Enterprise Software & Network Solutions,79,222,150.5,h2o.ai,CA,1,1,data scientist,P
85,Research Scientist,"Cambridge, MA",51 - 200 ,2000,Company   Private,Biotech & Pharmaceuticals,57,118,87.5,GNS Healthcare,MA,0,0,other scientist,M
86,Data Scientist,"Chantilly, VA",1001 - 5000 ,2017,Company   Private,Aerospace & Defense,83,137,110,Peraton,VA,1,1,data scientist,None
87,Data Scientist,"San Jose, CA",10000+ ,1995,Company   Private,IT Services,86,141,113.5,Pactera,CA,1,0,data scientist,None
88,Data Scientist,"San Francisco, CA",51 - 200 ,2016,Company   Private,Health Care Services & Hospitals,94,154,124,Nurx,CA,1,0,data scientist,None
89,Jr. Business Data Analyst,"Harrisburg, PA",201 - 500 ,1997,Company   Private,Advertising & Marketing,37,76,56.5,webfx.com,PA,0,0,analyst,None
90,Data Scientist,"Laurel, MD",5001 - 10000 ,1942,Nonprofit Organization,Aerospace & Defense,100,160,130,Johns Hopkins University Applied Physics Laboratory,MD,1,0,data scientist,None
91,Data Analyst,"Chicago, IL",51 - 200 ,2008,Company   Private,Computer Hardware & Software,55,100,77.5,Productive Edge,IL,0,0,analyst,None
92,Data Engineer,"Arlington, VA",201 - 500 ,2002,Company   Private,Consulting,60,114,87,Excella Consulting,VA,1,0,data engineer,None
93,Data Analyst,"Tacoma, WA",501 - 1000 ,1948,Company   Private,Wholesale,39,68,53.5,Gensco,WA,0,0,analyst,None
94,Staff Data Scientist   Technology,"Plano, TX",10000+ ,1962,Company   Public,"Department, Clothing, & Shoe Stores",106,172,139,Walmart,TX,0,1,data scientist,M
95,Data Scientist,"San Jose, CA",201 - 500 ,2005,Company   Private,Consulting,86,142,114,Logic20/20,CA,1,0,data scientist,M
96,Data Scientist,"Miami, FL",501 - 1000 ,2008,Company   Private,Enterprise Software & Network Solutions,64,107,85.5,goTRG,FL,1,1,data scientist,None
99,E Commerce Data Analyst,"New Orleans, LA",51 - 200 ,1999,Company   Private,Enterprise Software & Network Solutions,34,62,48,iSeatz,LA,0,0,analyst,None
101,Sr. Scientist II,"San Francisco, CA",201 - 500 ,1990,Company   Public,Biotech & Pharmaceuticals,117,231,174,Nektar Therapeutics,CA,0,0,other scientist,M
102,Insurance Data Scientist,"Atlanta, GA",5001 - 10000 ,1968,Company   Public,Financial Analytics & Research,64,106,85,TransUnion,GA,1,0,data scientist,None
104,Data Modeler,"Landover, MD",51 - 200 ,2003,Company   Private,IT Services,79,134,106.5,IT Concepts,MD,0,0,data modeler,None
105,Data Analyst / Scientist,"Patuxent River, MD",1001 - 5000 ,1988,Company   Private,IT Services,52,93,72.5,Scientific Research Corporation,MD,0,0,analyst,None
106,Scientist,"Suitland, MD",10000+ ,1996,Subsidiary or Business Segment,IT Services,55,116,85.5,General Dynamics Information Technology,MD,0,0,other scientist,M
107,Data Scientist,"McLean, VA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,72,123,97.5,MITRE,VA,1,0,data scientist,None
108,Data Scientist,"Fort Belvoir, VA",501 - 1000 ,2010,Company   Private,IT Services,74,124,99,The Buffalo Group,VA,1,0,data scientist,None
109,Data Analyst,"Milwaukee, WI",1001 - 5000 ,2001,Company   Private,Insurance Carriers,40,73,56.5,DentaQuest,WI,0,0,analyst,None
112,Data Scientist,"New York, NY",51 - 200 ,2012,Company   Private,Research & Development,89,153,121,7Park Data,NY,1,0,data scientist,None
113,Data Scientist,"Syracuse, NY",501 - 1000 ,1992,Company   Private,Security Services,61,110,85.5,Rapid Response Monitoring,NY,1,0,data scientist,M
116,"Data Scientist, Rice University","Houston, TX",1001 - 5000 ,2015,Subsidiary or Business Segment,Education Training Services,65,110,87.5,Trilogy Ed,TX,1,0,data scientist,None
117,Senior Data Scientist,"Washington, DC",1001 - 5000 ,1935,Company   Private,Consulting,200,275,237.5,Gallup,DC,1,0,data scientist,M
118,Data Engineer,"Charlotte, NC",1001 - 5000 ,1997,Company   Private,IT Services,68,123,95.5,CapTech,NC,1,0,data engineer,M
119,Senior Data Scientist,"Southfield, MI",10000+ ,1994,Company   Public,Transportation Equipment Manufacturing,80,129,104.5,American Axle & Manufacturing,MI,1,0,data scientist,M
120,Financial Data Analyst,"Matawan, NJ",201 - 500 ,2012,Company   Private,Computer Hardware & Software,41,72,56.5,CentralReach,NJ,0,0,analyst,None
122,Senior Data Analyst,"Phoenix, AZ",201 - 500 ,2010,Company   Private,Enterprise Software & Network Solutions,39,71,55,Integrate,AZ,0,0,analyst,None
123,Research Scientist,"Omaha, NE",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,38,85,61.5,Boys Town Hospital,NE,0,0,other scientist,P
124,Data Scientist,"San Francisco, CA",201 - 500 ,2006,Company   Private,Computer Hardware & Software,121,193,157,Demandbase,CA,0,0,data scientist,None
125,Data Engineer,"Lyndhurst, NJ",201 - 500 ,2019,Company   Private,Internet,54,102,78,Sapphire Digital,NJ,1,0,data engineer,None
126,Data Scientist,"Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,83,144,113.5,Takeda Pharmaceuticals,MA,1,0,data scientist,M
128,Data Scientist,"San Francisco, CA",51 - 200 ,2015,Company   Private,Enterprise Software & Network Solutions,102,163,132.5,Formation,CA,0,0,data scientist,M
129,Data Engineer,"San Francisco, CA",5001 - 10000 ,1982,Company   Public,Computer Hardware & Software,76,140,108,Autodesk,CA,1,1,data engineer,M
130,Ag Data Scientist,"Atlanta, IN",501 - 1000 ,1937,Company   Private,Farm Support Services,60,101,80.5,Beck's Hybrids,IN,0,0,data scientist,None
131,Data Scientist,"Rockville, MD",201 - 500 ,2000,Company   Private,Health Care Services & Hospitals,82,133,107.5,DrFirst,MD,1,0,data scientist,M
132,Data Engineer,"Minneapolis, MN",51 - 200 ,1996,Company   Private,Consulting,65,125,95,Object Partners,MN,0,1,data engineer,None
136,Data Scientist II,"Los Angeles, CA",1001 - 5000 ,1997,Nonprofit Organization,Health Care Services & Hospitals,91,148,119.5,L.A. Care Health Plan,CA,1,0,data scientist,M
137,Senior Data Engineer,"Charlotte, NC",1001 - 5000 ,2000,Company   Private,Advertising & Marketing,95,173,134,Red Ventures,NC,0,0,data engineer,None
138,Data Scientist,"Cambridge, MA",201 - 500 ,1999,Company   Private,Enterprise Software & Network Solutions,77,124,100.5,Quick Base,MA,1,0,data scientist,None
139,Data Scientist,"Cincinnati, OH",1001 - 5000 ,1878,Company   Public,TV Broadcast & Cable Networks,80,135,107.5,The E.W. Scripps Company,OH,1,0,data scientist,M
140,Data Engineer,"Washington, DC",51 - 200 ,2015,Company   Private,Internet,85,159,122,Upside Business Travel,DC,1,0,data engineer,None
141,Data Engineer,"Chicago, IL",1001 - 5000 ,1993,Company   Public,Real Estate,80,105,92.5,Equity Residential,IL,1,1,data engineer,None
142,Data Analyst,"Baltimore, MD",501 - 1000 ,1986,Company   Private,Research & Development,43,81,62,Synagro,MD,0,0,analyst,None
143,Project Scientist,"Alabaster, AL",51 - 200 ,2000,Other Organization,Architectural & Engineering Services,29,50,39.5,Alliance Source Testing,AL,0,0,other scientist,None
145,Data Scientist,"Santa Fe Springs, Los Angeles, CA",1001 - 5000 ,1966,Company   Private,Industrial Manufacturing,82,133,107.5,Accuride International,CA,0,0,data scientist,M
146,Data Analytics Manager,"Kansas City, MO",501 - 1000 ,2017,Company   Private,Staffing & Outsourcing,26,55,40.5,Full Potential Solutions,MO,1,0,Data scientist project manager,None
147,Senior Machine Learning (ML) Engineer / Data Scientist   Cyber Security Analytics,"Ashburn, VA",10000+ ,1958,Company   Public,IT Services,61,118,89.5,Visa Inc.,VA,1,1,data scientist,M
148,Data Scientist,"Chicago, IL",201 - 500 ,2008,Company   Private,Consulting,60,102,81,Maven Wave Partners,IL,1,1,data scientist,None
150,Senior Data Scientist,"Herndon, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,112,182,147,Novetta,VA,1,0,data scientist,None
152,Data Scientist,"Fort Worth, TX",1001 - 5000 ,1958,Company   Private,Brokerage Services,64,106,85,"First Command Financial Services, Inc.",TX,1,0,data scientist,None
153,Associate Scientist,"Valencia, CA",1001 - 5000 ,1971,Company   Private,Consumer Products Manufacturing,51,112,81.5,Pharmavite,CA,0,0,other scientist,M
154,"Scientist 2, QC Viral Vector","Novato, CA",1001 - 5000 ,1997,Company   Public,Biotech & Pharmaceuticals,113,223,168,BioMarin Pharmaceutical,CA,0,0,other scientist,P
156,Machine Learning Engineer,"Aurora, CO",10000+ ,2007,Company   Private,Aerospace & Defense,72,129,100.5,Stratagem Group,CO,1,1,machine learning engineer,None
157,Data Scientist/ML Engineer,"New York, NY",1001 - 5000 ,1943,Company   Private,Consulting,71,123,97,PA Consulting,NY,1,1,data scientist,M
158,Data Scientist,"Chantilly, VA",5001 - 10000 ,1968,Company   Public,Research & Development,64,106,85,ManTech,VA,0,1,data scientist,None
159,Customer Data Scientist,"Mountain View, CA",201 - 500 ,2011,Company   Private,Enterprise Software & Network Solutions,118,189,153.5,h2o.ai,CA,1,1,data scientist,M
161,Data Engineer,"Tampa, FL",51 - 200 ,2017,Company   Private,IT Services,120,145,132.5,Gridiron IT,FL,0,0,data engineer,None
162,Data Engineer,"Chicago, IL",51 - 200 ,2008,Company   Private,Computer Hardware & Software,80,120,100,Productive Edge,IL,0,0,data engineer,None
164,Sr. Data Scientist,"Denver, CO",201 - 500 ,2011,Company   Private,Travel Agencies,80,130,105,Evolve Vacation Rental,CO,1,0,data scientist,M
167,Data Analyst   Asset Management,"San Francisco, CA",51 - 200 ,2013,Company   Private,Real Estate,71,136,103.5,Maximus Real Estate Partners,CA,0,0,analyst,None
168,Senior Research Scientist   Embedded System Development for DevOps,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,167,124,Software Engineering Institute,PA,1,0,other scientist,M
169,Data Scientist   Bioinformatics,"Richland, WA",1001 - 5000 ,1965,Government,Energy,49,85,67,PNNL,WA,1,0,data scientist,P
170,Data Engineer,"Washington, DC",10000+ ,2000,Company   Private,IT Services,60,114,87,AVANADE,DC,0,0,data engineer,M
171,Customer Data Scientist/Sales Engineer,"Chicago, IL",201 - 500 ,2011,Company   Private,Enterprise Software & Network Solutions,71,204,137.5,h2o.ai,IL,1,1,data scientist,P
172,Lead Data Scientist,"Cincinnati, OH",201 - 500 ,1987,Company   Private,Advertising & Marketing,75,125,100,PatientPoint,OH,1,0,data scientist,M
174,MongoDB Data Engineer II,"Chattanooga, TN",5001 - 10000 ,1945,Nonprofit Organization,Insurance Carriers,77,136,106.5,BlueCross BlueShield of Tennessee,TN,0,0,data engineer,None
175,Senior Data Scientist Statistics,"Richland, WA",1001 - 5000 ,1965,Government,Energy,74,123,98.5,PNNL,WA,0,0,data scientist,P
177,Senior Data Analyst,"Clearwater, FL",501 - 1000 ,2010,Company   Private,Security Services,44,78,61,KnowBe4,FL,1,0,analyst,M
178,Senior Spark Engineer (Data Science),"Indianapolis, IN",51 - 200 ,2008,Company   Private,Consulting,65,148,106.5,KSM Consulting,IN,1,0,data scientist,None
179,Data Engineer,"Cambridge, MA",51 - 200 ,2005,Company   Private,Internet,59,110,84.5,Cogo Labs,MA,1,0,data engineer,None
180,BI & Platform Analytics Manager,"Ewing, NJ",1001 - 5000 ,1846,Company   Public,Consumer Products Manufacturing,85,134,109.5,Church & Dwight,NJ,1,0,Data scientist project manager,M
181,Lead Data Scientist,"Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,124,204,164,MassMutual,MA,1,1,data scientist,P
182,"Sr. Data Scientist   Analytics, Personalized Healthcare (PHC)","South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,131,207,169,Genentech,CA,1,1,data scientist,P
183,Senior Data Scientist,"Cupertino, CA",5001 - 10000 ,1996,Company   Public,Telecommunications Services,110,174,142,Juniper Networks,CA,1,0,data scientist,P
185,Pricipal Scientist Molecular and cellular biologist,"Boston, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,52,101,76.5,Takeda Pharmaceuticals,MA,0,0,other scientist,P
187,"Data Scientist (Actuary, FSA or ASA)","Frederick, MD",501 - 1000 ,1981,Company   Private,Insurance Carriers,81,133,107,Legal & General America,MD,1,0,data scientist,M
188,Staff Data Scientist,"San Jose, CA",10000+ ,1970,Company   Public,Computer Hardware & Software,132,211,171.5,Western Digital,CA,1,1,data scientist,M
190,Senior Data Scientist / Machine Learning,"Dallas, TX",201 - 500 ,2013,Company   Private,Insurance Agencies & Brokerages,73,119,96,Health IQ,TX,0,0,data scientist,P
191,Data Scientist   Health Data Analytics,"San Francisco, CA",51 - 200 ,2010,Company   Private,Enterprise Software & Network Solutions,110,175,142.5,Nuna,CA,0,0,data scientist,None
193,Senior Scientist   Neuroscience,"Marlborough, MA",1001 - 5000 ,2010,Company   Private,Biotech & Pharmaceuticals,100,190,145,Sunovion,MA,1,0,other scientist,P
194,Senior Data Analyst,"Herndon, VA",201 - 500 ,1993,Nonprofit Organization,Colleges & Universities,43,80,61.5,National Student Clearinghouse,VA,1,0,analyst,M
197,Medical Lab Scientist,"West Reading, PA",5001 - 10000 ,2017,Nonprofit Organization,Health Care Services & Hospitals,35,49,42,Tower Health,PA,0,0,other scientist,None
198,"Risk and Analytics IT, Data Scientist","Madison, WI",51 - 200 ,1951,Government,Investment Banking & Asset Management,91,149,120,State of Wisconsin Investment Board,WI,1,0,data scientist,None
199,"Scientist, Analytical Development","Cambridge, MA",201 - 500 ,2013,Company   Public,Biotech & Pharmaceuticals,42,82,62,Rubius Therapeutics,MA,0,0,other scientist,P
200,Senior Data Scientist,"San Francisco, CA",5001 - 10000 ,1982,Company   Public,Computer Hardware & Software,116,185,150.5,Autodesk,CA,1,1,data scientist,P
201,Analytics Manager,"Dearborn, MI",201 - 500 ,1967,Company   Private,Advertising & Marketing,59,116,87.5,OneMagnify,MI,0,0,Data scientist project manager,None
202,Data Engineer,"Winter Park, FL",51 - 200 ,2006,Company   Public,Advertising & Marketing,48,95,71.5,IZEA,FL,1,1,data engineer,None
203,Digital Marketing & ECommerce Data Analyst,"San Rafael, CA",51 - 200 ,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",31,72,51.5,Vionic Group,CA,0,0,analyst,None
204,Sr. Scientist   Digital & Image Analysis/Computational Pathology,"San Diego, CA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,105,198,151.5,Takeda Pharmaceuticals,CA,0,0,other scientist,M
205,Senior Data Analyst,"Hamilton, NJ",201 - 500 ,2014,Company   Private,IT Services,55,100,77.5,Dodge Data & Analytics,NJ,1,0,analyst,None
206,Principal Scientist   Immunologist,"Boston, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,98,182,140,Takeda Pharmaceuticals,MA,0,0,other scientist,M
207,Senior Data Scientist,"Woodbridge, NJ",1001 - 5000 ,1982,Company   Private,Insurance Carriers,73,124,98.5,Plymouth Rock Assurance,NJ,0,0,data scientist,M
208,Principal Data Scientist with over 10 years experience,"San Francisco, CA",51 - 200 ,2017,Company   Private,IT Services,200,250,225,CA-One Tech Clou,CA,1,0,data scientist,None
209,MED TECH/LAB SCIENTIST   LABORATORY,"Lewes, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,43,70,56.5,Beebe Healthcare,DE,0,0,other scientist,None
210,"Sr. Scientist, Quantitative Translational Sciences","Boston, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,117,206,161.5,Takeda Pharmaceuticals,MA,0,0,other scientist,M
211,Sr. Data Scientist II,"New York, NY",1001 - 5000 ,1948,Company   Public,Insurance Carriers,111,183,147,Argo Group US,NY,1,1,data scientist,None
212,Excel / VBA / SQL Data Analyst,"Springfield, MO",501 - 1000 ,1961,Company   Private,Energy,44,78,61,Associated Electric Cooperative,MO,0,0,analyst,M
213,Machine Learning Research Scientist,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,159,120,Software Engineering Institute,PA,1,0,machine learning engineer,P
215,"VP, Data Science","Phoenix, AZ",1001 - 5000 ,2008,Company   Public,Lending,83,166,124.5,PennyMac,AZ,1,0,data scientist,None
216,Senior Data Scientist,"Burbank, CA",51 - 200 ,2009,Company   Private,Financial Analytics & Research,114,182,148,Zest AI,CA,1,0,data scientist,M
217,Radar Data Analyst,"Huntsville, AL",51 - 200 ,1996,Company   Private,Aerospace & Defense,42,76,59,DECISIVE ANALYTICS Corporation,AL,1,0,analyst,None
